"filename", "language", "Python", "Markdown", "Shell Script", "Ruby", "comment", "blank", "total"
"/Users/shihanxiong/dev/video_loom/README.md", "Markdown", 0, 86, 0, 0, 0, 39, 125
"/Users/shihanxiong/dev/video_loom/changelog.md", "Markdown", 0, 44, 0, 0, 0, 33, 77
"/Users/shihanxiong/dev/video_loom/src/app.macos.spec", "Ruby", 0, 0, 0, 44, 1, 6, 51
"/Users/shihanxiong/dev/video_loom/src/app.py", "Python", 70, 0, 0, 0, 11, 14, 95
"/Users/shihanxiong/dev/video_loom/src/app.win32.spec", "Ruby", 0, 0, 0, 35, 1, 6, 42
"/Users/shihanxiong/dev/video_loom/src/audio_setting_frame.py", "Python", 25, 0, 0, 0, 2, 9, 36
"/Users/shihanxiong/dev/video_loom/src/bundle.sh", "Shell Script", 0, 0, 5, 0, 4, 4, 13
"/Users/shihanxiong/dev/video_loom/src/file_utils.py", "Python", 15, 0, 0, 0, 0, 5, 20
"/Users/shihanxiong/dev/video_loom/src/sandbox/app_logging.py", "Python", 16, 0, 0, 0, 2, 7, 25
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_filepath.py", "Python", 3, 0, 0, 0, 0, 2, 5
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_macos.py", "Python", 42, 0, 0, 0, 10, 13, 65
"/Users/shihanxiong/dev/video_loom/src/sandbox/sandbox_win32.py", "Python", 21, 0, 0, 0, 4, 7, 32
"/Users/shihanxiong/dev/video_loom/src/settings_frame.py", "Python", 20, 0, 0, 0, 4, 7, 31
"/Users/shihanxiong/dev/video_loom/src/status_frame.py", "Python", 18, 0, 0, 0, 3, 9, 30
"/Users/shihanxiong/dev/video_loom/src/test_file_utils.py", "Python", 4, 0, 0, 0, 0, 3, 7
"/Users/shihanxiong/dev/video_loom/src/test_time_utils.py", "Python", 10, 0, 0, 0, 0, 5, 15
"/Users/shihanxiong/dev/video_loom/src/test_timeline_utils.py", "Python", 47, 0, 0, 0, 3, 14, 64
"/Users/shihanxiong/dev/video_loom/src/time_utils.py", "Python", 8, 0, 0, 0, 0, 5, 13
"/Users/shihanxiong/dev/video_loom/src/timeline_frame.py", "Python", 22, 0, 0, 0, 3, 9, 34
"/Users/shihanxiong/dev/video_loom/src/timeline_utils.py", "Python", 32, 0, 0, 0, 0, 10, 42
"/Users/shihanxiong/dev/video_loom/src/toolbar_frame.py", "Python", 22, 0, 0, 0, 2, 9, 33
"/Users/shihanxiong/dev/video_loom/src/video_frame.py", "Python", 145, 0, 0, 0, 24, 38, 207
"/Users/shihanxiong/dev/video_loom/src/video_import_frame.py", "Python", 54, 0, 0, 0, 1, 12, 67
"/Users/shihanxiong/dev/video_loom/src/video_renderer_frame.py", "Python", 30, 0, 0, 0, 3, 7, 40
"/Users/shihanxiong/dev/video_loom/src/video_select_frame.py", "Python", 66, 0, 0, 0, 4, 18, 88
"/Users/shihanxiong/dev/video_loom/src/video_setting_frame.py", "Python", 25, 0, 0, 0, 2, 9, 36
"/Users/shihanxiong/dev/video_loom/src/windows.py", "Python", 6, 0, 0, 0, 0, 1, 7
"e:/dev/github/video_loom/README.md", "Markdown", 0, -83, 0, 0, 0, -36, -119
"e:/dev/github/video_loom/changelog.md", "Markdown", 0, -36, 0, 0, 0, -25, -61
"e:/dev/github/video_loom/src/app.macos.spec", "Ruby", 0, 0, 0, -44, -1, -6, -51
"e:/dev/github/video_loom/src/app.py", "Python", -71, 0, 0, 0, -10, -14, -95
"e:/dev/github/video_loom/src/app.win32.spec", "Ruby", 0, 0, 0, -34, -1, -6, -41
"e:/dev/github/video_loom/src/audio_setting_frame.py", "Python", -29, 0, 0, 0, -2, -8, -39
"e:/dev/github/video_loom/src/bundle.sh", "Shell Script", 0, 0, -5, 0, -4, -4, -13
"e:/dev/github/video_loom/src/file_utils.py", "Python", -15, 0, 0, 0, 0, -5, -20
"e:/dev/github/video_loom/src/reference/ffmpeg.py", "Python", 0, 0, 0, 0, -12, -1, -13
"e:/dev/github/video_loom/src/reference/moviepy.py", "Python", 0, 0, 0, 0, -42, -2, -44
"e:/dev/github/video_loom/src/sandbox/app_logging.py", "Python", -16, 0, 0, 0, -2, -7, -25
"e:/dev/github/video_loom/src/sandbox/sandbox_filepath.py", "Python", -3, 0, 0, 0, 0, -2, -5
"e:/dev/github/video_loom/src/sandbox/sandbox_macos.py", "Python", -42, 0, 0, 0, -10, -13, -65
"e:/dev/github/video_loom/src/sandbox/sandbox_win32.py", "Python", -21, 0, 0, 0, -4, -7, -32
"e:/dev/github/video_loom/src/status_frame.py", "Python", -18, 0, 0, 0, -3, -9, -30
"e:/dev/github/video_loom/src/test_file_utils.py", "Python", -4, 0, 0, 0, 0, -3, -7
"e:/dev/github/video_loom/src/test_time_utils.py", "Python", -10, 0, 0, 0, 0, -5, -15
"e:/dev/github/video_loom/src/test_timeline_utils.py", "Python", -23, 0, 0, 0, -3, -8, -34
"e:/dev/github/video_loom/src/time_utils.py", "Python", -8, 0, 0, 0, 0, -5, -13
"e:/dev/github/video_loom/src/timeline_frame.py", "Python", -34, 0, 0, 0, -6, -11, -51
"e:/dev/github/video_loom/src/timeline_utils.py", "Python", -30, 0, 0, 0, 0, -10, -40
"e:/dev/github/video_loom/src/toolbar_frame.py", "Python", -22, 0, 0, 0, -2, -9, -33
"e:/dev/github/video_loom/src/video_frame.py", "Python", -142, 0, 0, 0, -23, -37, -202
"e:/dev/github/video_loom/src/video_import_frame.py", "Python", -54, 0, 0, 0, -1, -12, -67
"e:/dev/github/video_loom/src/video_renderer_frame.py", "Python", -30, 0, 0, 0, -3, -7, -40
"e:/dev/github/video_loom/src/video_select_frame.py", "Python", -66, 0, 0, 0, -4, -18, -88
"e:/dev/github/video_loom/src/windows.py", "Python", -6, 0, 0, 0, 0, -1, -7
"Total", "-", 57, 11, 0, 1, -49, 30, 50
